id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7627,TR,Izmir,M1 Phase 2,2005,2014,5.35,5.35,6,252,TRY,277.2
7632,TR,Izmir,M1 Phase 3,2010,2012,2.25,2.25,2,106,TRY,106
7633,TR,Ankara,M4,2003,2017,9.22,9.22,9,1000,TRY,1100
7634,TR,Bursa,Bursaray,1997,2014,39,6.25,38,425,EUR,892.5
7640,CN,Beijing,Line 4,2004,2009,28.2,26.837,24,15300,CNY,5381.01
7649,CN,Beijing,Line 13,1999,2003,40.85,0,17,6570,CNY,2430.90
7658,CN,Shanghai,Line 2 Eastern Extension 1,1999,2000,2.72,0.87,1,314.77,CNY,116.46
7659,CN,Shanghai,Line 2 Western Extension 1,2001,2006,6.155,6.155,4,3488.42,CNY,1236.64
7664,CN,Shanghai,Line 2 Eastern Extension 2,2006,2010,30.8,21.5,10,11032,CNY,3467.36
7666,CN,Shanghai,Line 3,1997,2000,24.975,0,19,9378,CNY,3469.86
7673,CN,Shanghai,Line 5 Phase 1,2000,2002,17.206,0,11,3437,CNY,1265.85
7674,CN,Shanghai,Line 5 Southern Extension,2014,2018,19.628,7.747,9,10619,CNY,2662.18
7675,CN,Shanghai,Line 7 Phase 1,2005,2009,34.388,34.388,28,18700,CNY,6214.01
7680,CN,Shanghai,Line 7 Northern Extension,2009,2011,9.978,7.01,5,3157,CNY,948.36
7683,CN,Shanghai,Line 9 Phase 2,2005,2009,14.5,14.5,10,8940,CNY,2970.76
7688,CN,Shanghai,Line 9 Phase 3,2009,2012,5.372,5.372,3,2800,CNY,841.12
7689,CN,Shanghai,Line 9 Phase 3 Eastern Extension,2013,2017,13.828,13.828,9,12713,CNY,3283.77
7690,CN,Shanghai,Line 10 Phase 1,2005,2010,36.221,36.221,31,23784,CNY,7903.42
7691,CN,Shanghai,Line 11 Phase 1,2007,2009,46.008,21.676,21,18950,CNY,5955.99
7706,CN,Shenzhen,Line 6 Phase 1,2015,2020,37.626,13.01,20,16800,CNY,4585.15
7707,CN,Shenzhen,Line 6 (feeder),2018,2022,6.13,5.305,4,3795,CNY,902.71
7712,CN,Shenzhen,Line 3 Phase 4,NA,2022,9.35,7.42,7,10785,CNY,2568.99
7715,CN,Shenzhen,Line 13 Southern Extension,2020,2025,4.47,4.47,3,4962,CNY,1181.95
7722,CN,Shenzhen,Line 8 Phase 3,NA,2025,4.26,4.26,NA,8318,CNY,1981.35
7728,CN,Shenzhen,Line 20 Phase 1,2020,2021,8.43,8.43,5,12516,CNY,2981.31
7729,CN,Hangzhou,Line 1 Phase 1,2007,2012,48,NA,31,22076,CNY,7335.85
7730,CN,Nanjing,Line 1 Phase 1,2000,2005,21.72,14.33,16,8500,CNY,3126.15
7731,CN,Wuhan,Line 1 Phase 1,2000,2003,10.234,0,10,2199,CNY,808.75
7736,CN,Wuhan,Line 1 Phase 2,2005,2010,18.25,0,16,4649.8,CNY,1635.33
7737,CN,Wuhan,Line 1 Phase 3 Hankou North,2011,2013,5.7,0,3,2361,CNY,670.05
7753,CN,Kunming,Line 1 Phase 1 and Line 2 Phase 1,2010,2014,42.1,29.4,31,23137,CNY,6950.14
7760,CN,Beijing,Line 28,2017,2021,8.777,8.777,9,12750,CNY,3037.16
7769,CN,Beijing,Line 11 West,2019,2021,4,4,4,4890,CNY,1164.84
7771,CN,Shenzhen,Line 13,2018,2023,23,23,14,21480,CNY,5133.84
